Var=CDK11A_cluster8	Wt=-1	CondVar=0.24439	CondBias=0.122163	CondWt=ZNF671_cluster8=0.556972,STRN4_cluster8=0.352088,PHLPP2_cluster8=0.413772,TCF12_cluster8=0.287135
Var=SLC35E2_cluster8	Wt=-1	CondVar=0	CondBias=0	CondWt=
Var=NADK_cluster8	Wt=-1	CondVar=0.159822	CondBias=0.0100123	CondWt=FIG4_cluster8=0.364932,CXXC1_cluster8=0.167157,SFMBT1_cluster8=0.920486,SRC_cluster8=0.579086,ZNF285_cluster8=0.665373,APBB1_cluster8=0.19685,BRPF1_cluster8=0.822497,ZFYVE1_cluster8=0.715293,ZNF383_cluster8=0.234026,GTF3C2_cluster8=0.188117,NR6A1_cluster8=0.275879,ZNF205_cluster8=-0.922939
Var=GNB1_cluster8	Wt=-1	CondVar=0.316691	CondBias=0.202296	CondWt=JARID2_cluster8=0.234061,SMAD5_cluster8=0.235048,PRDM16_cluster8=0.218214
Var=PRKCZ_cluster8	Wt=-1	CondVar=0.0274465	CondBias=-0.0383758	CondWt=MTSS1_cluster8=0.205069,NEK2_cluster8=0.28797,PTPN23_cluster8=0.91268,TEP1_cluster8=0.304552,EPM2A_cluster8=0.12051,PPP1R26_cluster8=-0.340151,HESX1_cluster8=0.10267,ZNF148_cluster8=0.0607139,CCNF_cluster8=0.724717,ZNF273_cluster8=0.0898289,MOK_cluster8=0.115016,ABL2_cluster8=0.0846362,ZNF510_cluster8=0.115421,ADCK5_cluster8=0.703234,ZNF343_cluster8=0.658282,FANK1_cluster8=-0.434776,ZFPM1_cluster8=-0.792544,ZNF205_cluster8=0.808305
Var=C1orf86_cluster8	Wt=-1	CondVar=0.381401	CondBias=0.480829	CondWt=STAT5B_cluster8=0.111567
Var=AL590822.1_cluster8	Wt=-1	CondVar=0.0151456	CondBias=-0.0455485	CondWt=SBF2_cluster8=0.0469088,ZDHHC15_cluster8=0.0815089,TESK2_cluster8=0.120824,ERN1_cluster8=0.105081,TAF1_cluster8=0.0595823,CDK14_cluster8=0.186907,STK39_cluster8=-0.0826783,RNGTT_cluster8=0.0812274,ZNF444_cluster8=0.0715082,MAST4_cluster8=0.0593717,ADCK5_cluster8=-0.143358
Var=SKI_cluster8	Wt=-1	CondVar=0.355362	CondBias=0.118647	CondWt=FER_cluster8=0.4737,ANKRD42_cluster8=0.607695,PPP1R15A_cluster8=0.208609,LIMK1_cluster8=0.585984
Var=MORN1_cluster8	Wt=-1	CondVar=0.0339671	CondBias=0.00103395	CondWt=DUSP15_cluster8=-0.122109,ZNF624_cluster8=0.827527,BCOR_cluster8=-0.146506,ENPP5_cluster8=0.206762,GTF3C4_cluster8=-0.238451,ZNF117_cluster8=-0.767931,ZNF442_cluster8=-0.31478,HKR1_cluster8=0.310386,NEK8_cluster8=0.381758,SAP30_cluster8=0.0951712,SMAD5_cluster8=-0.0987443,PTPLB_cluster8=0.0851274,DCLK2_cluster8=0.115546,SH2D4A_cluster8=-0.17248,STK39_cluster8=0.602375,LZTR1_cluster8=0.679404,ETV6_cluster8=-0.0657421,OBSCN_cluster8=1.00753,ICK_cluster8=0.280677
Var=RER1_cluster8	Wt=-1	CondVar=0.282638	CondBias=0.0271022	CondWt=GYS1_cluster8=0.360033,HMGN2_cluster8=0.0508035,ZNF90_cluster8=0.330653,MDP1_cluster8=0.320117,ZFX_cluster8=-0.0203255
