regulator	cluster	ntarget
NR1I2	E27	0
NR1I2	E21	0
NR1I2	E11	0
NR1I2	E10	0
NR1I2	E5	0
NR1I2	E14	0
NR1I2	E7	0
NR1I2	E9	0
NR1I2	E30	0
NR1I2	E2	0
NR1I2	E4	0
NR1I2	E3	0
NR1I2	E18	0
NR1I2	E6	0
NR1I2	E19	0
NR1I2	E29	0
NR1I2	E23	0
NR1I2	E20	0
PLEK	E28	0
PLEK	E15	0
PLEK	E13	0
PLEK	E1	0
PLEK	E26	0
PLEK	E25	0
PLEK	E12	0
PLEK	E22	0
PLEK	E24	0
PLEK	E17	0
PLEK	E8	0
PLEK	E16	0
PLEK	E27	0
PLEK	E21	0
PLEK	E11	0
PLEK	E10	0
PLEK	E5	0
PLEK	E14	0
PLEK	E7	0
PLEK	E9	0
PLEK	E30	57
PLEK	E2	0
PLEK	E4	0
PLEK	E3	0
PLEK	E18	0
PLEK	E6	0
PLEK	E19	0
PLEK	E29	0
PLEK	E23	0
PLEK	E20	0
POLR1A	E28	0
POLR1A	E15	0
POLR1A	E13	0
POLR1A	E1	10
POLR1A	E26	0
POLR1A	E25	0
POLR1A	E12	0
POLR1A	E22	0
POLR1A	E24	0
POLR1A	E17	0
POLR1A	E8	0
POLR1A	E16	0
POLR1A	E27	0
POLR1A	E21	0
POLR1A	E11	0
POLR1A	E10	0
POLR1A	E5	0
POLR1A	E14	0
POLR1A	E7	0
POLR1A	E9	0
POLR1A	E30	0
POLR1A	E2	0
POLR1A	E4	0
POLR1A	E3	0
POLR1A	E18	0
POLR1A	E6	0
POLR1A	E19	0
POLR1A	E29	0
POLR1A	E23	0
POLR1A	E20	0
PTPRN2	E28	0
PTPRN2	E15	0
PTPRN2	E13	0
PTPRN2	E1	0
PTPRN2	E26	0
PTPRN2	E25	0
PTPRN2	E12	0
PTPRN2	E22	0
PTPRN2	E24	0
PTPRN2	E17	0
PTPRN2	E8	0
PTPRN2	E16	0
PTPRN2	E27	0
PTPRN2	E21	0
PTPRN2	E11	0
PTPRN2	E10	0
PTPRN2	E5	0
PTPRN2	E14	0
PTPRN2	E7	28
PTPRN2	E9	0
PTPRN2	E30	0
PTPRN2	E2	0
PTPRN2	E4	0
PTPRN2	E3	0
PTPRN2	E18	0
PTPRN2	E6	0
PTPRN2	E19	0
PTPRN2	E29	0
PTPRN2	E23	0
PTPRN2	E20	0
SPRED1	E28	0
SPRED1	E15	0
SPRED1	E13	0
SPRED1	E1	0
SPRED1	E26	0
SPRED1	E25	0
SPRED1	E12	0
SPRED1	E22	0
