Var=SLC35E2_cluster7	Wt=-1	CondVar=0.039175	CondBias=-0.0552498	CondWt=ZNF510_cluster7=0.0940101,TESK2_cluster7=0.0767241,MLKL_cluster7=0.068279,FBP1_cluster7=0.228257,TRIO_cluster7=0.0853781,PPP5D1_cluster7=0.100051,PTPRE_cluster7=0.140448,AFF3_cluster7=0.0745629,ULK3_cluster7=0.0387971,RFX3_cluster7=0.0724969,ZNF599_cluster7=0.0518819,ARSB_cluster7=0.138063,PPP6R2_cluster7=0.0452486,SERTAD2_cluster7=0.05822,SRC_cluster7=0.0909254,ZNF14_cluster7=0.083453,ANKS1A_cluster7=0.0854727
Var=NADK_cluster7	Wt=-1	CondVar=0.261076	CondBias=-0.199125	CondWt=ZNF462_cluster7=0.228957,ZNF146_cluster7=0.099062,ZAP70_cluster7=0.674161,YBX1_cluster7=0.193812,ZNF25_cluster7=0.158618,ZNF507_cluster7=0.15546,ZNF154_cluster7=0.248836,THY1_cluster7=0.309587
Var=GNB1_cluster7	Wt=-1	CondVar=0.328836	CondBias=0.264815	CondWt=TOP2A_cluster7=0.117553,ARNTL_cluster7=0.148555,ZNF587_cluster7=0.158097
Var=PRKCZ_cluster7	Wt=-1	CondVar=0.0818636	CondBias=-0.0472351	CondWt=ETS2_cluster7=0.0617909,E2F5_cluster7=0.102412,NR1I2_cluster7=0.124829,NKX2-3_cluster7=0.129756,TRIM21_cluster7=0.0902361,ZFP64_cluster7=0.0987517,HIC2_cluster7=0.0564114,RELB_cluster7=0.170296,PAX8_cluster7=0.07999,FLNB_cluster7=0.103418,FOXK2_cluster7=0.129572,BRSK1_cluster7=0.196114,FOSL2_cluster7=0.158969,MYCN_cluster7=0.0707549
Var=C1orf86_cluster7	Wt=-1	CondVar=0.331312	CondBias=0.349518	CondWt=CEBPZ_cluster7=-0.0500213,STAT3_cluster7=0.0770596,NFYC_cluster7=0.0964599,ILK_cluster7=-0.0897026,STAT5A_cluster7=-0.0287237,CFL1_cluster7=0.174341,LYL1_cluster7=-0.0727134,TFEC_cluster7=-0.082732,BTK_cluster7=0.0992076,GATA1_cluster7=0.0617346
Var=AL590822.1_cluster7	Wt=-1	CondVar=0.0572113	CondBias=-0.0795787	CondWt=ZNF154_cluster7=0.127104,IKBKG_cluster7=0.0440489,FOXO1_cluster7=0.164233,PRKACA_cluster7=0.148695,ZNF300_cluster7=0.13252,ZNF70_cluster7=0.100429,PHLPP2_cluster7=0.150678,ZNF34_cluster7=0.0749732,NFIX_cluster7=0.0358653,SGOL1_cluster7=-0.0410431,ZNF638_cluster7=0.0482629,ATR_cluster7=0.0587914,HOXB3_cluster7=0.0800704,SP3_cluster7=0.0262013,ZBTB33_cluster7=0.08208,PPP2R3B_cluster7=0.0917822,ZNF408_cluster7=0.081605,ZNF117_cluster7=0.0874184,CBX7_cluster7=0.0766615,ATF5_cluster7=0.073312,PHF8_cluster7=0.0648993,SP2_cluster7=-0.0427838,ETV3_cluster7=0.129888,PASK_cluster7=0.1083
Var=SKI_cluster7	Wt=-1	CondVar=0.14059	CondBias=-0.0875026	CondWt=ZNF565_cluster7=0.110139,XRCC6_cluster7=0.0746394,KLF2_cluster7=0.333489,JUNB_cluster7=0.0395883,SNAPC5_cluster7=0.0701981,ZNF148_cluster7=0.040653,CSF1R_cluster7=0.463423,ELK1_cluster7=0.072434,JUN_cluster7=0.0497732,TCOF1_cluster7=0.063527,BCL6_cluster7=0.532282
Var=MORN1_cluster7	Wt=-1	CondVar=0.0668521	CondBias=-0.057872	CondWt=IKZF1_cluster7=0.0613059,GZF1_cluster7=0.0991328,ZNF319_cluster7=0.0890845,PEAK1_cluster7=0.0825029,RELB_cluster7=0.132885,TRIB1_cluster7=0.175432,RAF1_cluster7=0.0559828,ZNF169_cluster7=0.136938,ZNF624_cluster7=-0.142969,PPP2R5D_cluster7=0.0734106,NFATC2_cluster7=0.0580515,ZNF417_cluster7=0.135829,SMAD7_cluster7=0.224827,THY1_cluster7=0.39792,PAPOLG_cluster7=0.107285,UTF1_cluster7=0.188489
Var=RER1_cluster7	Wt=-1	CondVar=0.397623	CondBias=-0.0870401	CondWt=CTCF_cluster7=0.0751764,ZFX_cluster7=-0.0755087,RBBP7_cluster7=0.112785,NT5M_cluster7=0.114219,RFXANK_cluster7=0.106769,POLR2L_cluster7=0.132493,CFL1_cluster7=0.174922,RFX1_cluster7=0.131641,POLR2G_cluster7=0.640359,AATF_cluster7=0.122166,SSBP3_cluster7=0.147262
Var=PEX10_cluster7	Wt=-1	CondVar=0.294689	CondBias=0.113102	CondWt=PPM1N_cluster7=0.128039,ZNF341_cluster7=0.257885,ARID3A_cluster7=0.124901,MS4A3_cluster7=0.30217,TSC22D3_cluster7=0.0185163,ZNF165_cluster7=0.666456
