Var=GNB1_cluster10	Wt=-1	CondVar=0.275633	CondBias=0.281986	CondWt=ARNTL_cluster10=0.34321
Var=PRKCZ_cluster10	Wt=-1	CondVar=1.06942e-10	CondBias=-3.74862e-11	CondWt=HOXA4_cluster10=0.364835,WDR81_cluster10=0.364547,PARD3_cluster10=0.607198,SOCS1_cluster10=1.02392,ZFPM1_cluster10=-0.381624
Var=C1orf86_cluster10	Wt=-1	CondVar=0	CondBias=0	CondWt=
Var=AL590822.1_cluster10	Wt=-1	CondVar=0	CondBias=0	CondWt=
Var=SKI_cluster10	Wt=-1	CondVar=0.00723062	CondBias=0.0585045	CondWt=EPHX2_cluster10=0.664341,ZHX2_cluster10=-0.38144,PDK3_cluster10=-0.157904,POLR3C_cluster10=0.190729,ZNF565_cluster10=0.547316,ZNF184_cluster10=-0.0968145,RARA_cluster10=-0.191496,JUNB_cluster10=-0.0543343,ZNF544_cluster10=-0.0970907,MAFK_cluster10=0.271134,PRKAB2_cluster10=0.079242,PBX2_cluster10=-0.120341,KLF8_cluster10=0.140913,ZNF90_cluster10=-0.0661312,ZNF281_cluster10=0.112677,E2F6_cluster10=0.0982472,THAP1_cluster10=-0.0692385,ZNF473_cluster10=0.069859,DYRK3_cluster10=0.0507869,SHC1_cluster10=0.737932,PTPRD_cluster10=0.524123,ZNF433_cluster10=-0.286636,ZNF581_cluster10=-0.0692197,OCRL_cluster10=0.538695,ZSCAN1_cluster10=0.45519,JUN_cluster10=-0.0317322,ASCC2_cluster10=-0.0716732,ZAP70_cluster10=-0.532147,ZBTB34_cluster10=0.190288,ULK2_cluster10=0.780969
Var=MORN1_cluster10	Wt=-1	CondVar=2.0562e-10	CondBias=1.87121e-11	CondWt=ZNF713_cluster10=0.756976,ZNF501_cluster10=-0.695118
Var=RER1_cluster10	Wt=-1	CondVar=0.395619	CondBias=0.502511	CondWt=ZFX_cluster10=0.11827
Var=PEX10_cluster10	Wt=-1	CondVar=1.37657e-09	CondBias=-4.02645e-08	CondWt=HIVEP1_cluster10=0.59537,MKNK1_cluster10=3.50262e-08,CIC_cluster10=-0.731259,CDK14_cluster10=1.74019e-07,ZNF577_cluster10=0.714791,ZNF341_cluster10=0.471207,ENPP4_cluster10=0.871036,GALNS_cluster10=-0.782417,SIK2_cluster10=-0.681257,ZNF189_cluster10=0.668298,ZNF174_cluster10=1.31224e-06,ERF_cluster10=0.769168,ZNF410_cluster10=-0.277449,INPPL1_cluster10=0.76331,ZNF319_cluster10=-0.238873,CDKL1_cluster10=0.548147,FKBP9_cluster10=0.419282,ZNF215_cluster10=-0.967861,ZNF287_cluster10=0.599185,PLK2_cluster10=-0.632128,ZFPM1_cluster10=0.421222,FOXK2_cluster10=0.803971,ARID3A_cluster10=8.62067e-08,ANKS1A_cluster10=0.648432,NFIL3_cluster10=-0.191143,CDKL3_cluster10=-2.20737e-06,SYNJ2_cluster10=-0.629154,CBX4_cluster10=0.759616,TYRO3_cluster10=1.3371e-06,E2F5_cluster10=-0.569876,ZNF10_cluster10=-0.631391,PARD3_cluster10=-0.4739,ZNF585A_cluster10=0.826134,ZNF404_cluster10=1.88532e-06,ZNF500_cluster10=1.5959e-07,ZEB1_cluster10=2.3724e-08,ELK1_cluster10=1.75402e-07,SHC1_cluster10=0.89696,NKX2-3_cluster10=0.578761,CDK20_cluster10=-1.67761e-06,ZNF546_cluster10=0.596785
Var=PANK4_cluster10	Wt=-1	CondVar=5.58331e-10	CondBias=1.65578e-10	CondWt=ZNF215_cluster10=0.73309,CDK3_cluster10=0.518467,PLD6_cluster10=1.70026e-09,ZNF615_cluster10=0.9547,PARD3_cluster10=0.717896,THRB_cluster10=-0.936228,NR1D1_cluster10=-4.83932e-09,PCP2_cluster10=1.15371,ZBTB40_cluster10=0.377751
Var=RP3-395M20.12_cluster10	Wt=-1	CondVar=0	CondBias=0	CondWt=
